"","X","species","SVL","count","abu_cat","lat.range","maxGCD_extant","mean_lat","min_lat","Red.List.status","Order","Family","Genus","hab.cat"
"1",1,"Acanthixalus spinosus",35.990796784563,NA,NA,11.474669967,2567.84315199686,-0.455270481408628,-6.3320872233808,"LC","ANURA","HYPEROLIIDAE","Acanthixalus",NA
"2",2,"Acris blanchardi",27.0044422996929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,"Acris crepitans",32.2418841410195,236,3,20.238541378,3207.76936307611,34.778537253072,24.580941881761,"LC","ANURA","HYLIDAE","Acris","highlow"
"4",4,"Acris gryllus",23.6426190023636,658,2,12.618308882,1617.87576717189,30.8928182145709,25.6704875694588,"LC","ANURA","HYLIDAE","Acris","highlow"
"5",5,"Adelophryne adiastola",13.480709107602,NA,1,7.22541156200003,957.133987268923,-1.80244393828173,-5.43018245941028,"LC","ANURA","ELEUTHERODACTYLIDAE","Adelophryne",NA
"6",6,"Adelotus brevis",40.7585003936524,NA,NA,14.658639227,1681.37522447835,-27.5773424083455,-34.9210610062629,"NT","ANURA","LIMNODYNASTIDAE","Adelotus","highlow"
"7",7,"Adelphobates castaneoticus",20.5015048768278,NA,3,7.58725533400002,1110.71159395605,-4.89975593198919,-9.99036233702675,"LC","ANURA","DENDROBATIDAE","Adelphobates","low"
"8",8,"Adenomera andreae",26.9959453485254,261,3,27.230100043,3597.71358917472,1.59263355427836,-18.6878920065053,"LC","ANURA","LEPTODACTYLIDAE","Adenomera","low"
"9",9,"Adenomera hylaedactyla",24.7696467113122,NA,3,31.972229392,4824.07783457425,-0.246573613461942,-22.4534978520498,"LC","ANURA","LEPTODACTYLIDAE","Adenomera","highlow"
"10",10,"Adenomera simonstuarti",25.7027560948394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",11,"Adenomus kelaartii",49.9954707297683,NA,2,1.04179059699999,156.929494272007,7.20040929807315,5.75995994810015,"EN","ANURA","BUFONIDAE","Adenomus","highlow"
"12",12,"Afrixalus aureus",21.5040448363265,NA,4,6.57634282199996,785.704850097288,-26.0155892333841,-29.581197089795,"LC","ANURA","HYPEROLIIDAE","Afrixalus","low"
"13",13,"Afrixalus clarkei",22.2915737698274,NA,3,0.361063269999988,156.762678864687,7.45489087293048,7.418900820259,"EN","ANURA","HYPEROLIIDAE","Afrixalus","low"
"14",14,"Afrixalus delicatus",19.2726857841387,NA,1,30.063465336,3573.75133939332,-13.3698545853191,-28.7116938562319,"LC","ANURA","HYPEROLIIDAE","Afrixalus","low"
