"","species","order","mni_max","spec_max","mni_pred_max","lat_range","gcd","grid_cells","ma_range","asl_pred","svl","mean_lat","min_lat","hab.cat.b","habitat_width","hab_w_boot","family","genus","complete_case","abu_cat"
"1","Acanthostomatops vorax","Temnospondyli",1,NA,1,0,0,1,0,75,208.924359025865,6.76504969259485,8.01924853108584,"low",1,1,"Zatracheidae","Acanthostomatops",FALSE,NA
"2","Acheloma cumminsi","Temnospondyli",1,1,1,0.230892720698898,176.733001433513,1,6,166,444.876694350118,-0.552192561814123,0.192561971764794,"low",1,0.612745098039216,"Trematopidae","Acheloma",TRUE,1
"3","Acheloma dunni","Temnospondyli",2,6,2,0,86.9100317201515,1,0,177,473.39521161701,0.830948419539444,0.0433331980800254,"low",1,1,"Trematopidae","Acheloma",TRUE,1
"4","Albanerpeton arthridion","Allocaudata",16,43,16,0.758141777679622,0,1,10,4.94186849582904,27.2527819204699,39.2290692051681,37.2709941265495,"low",2,1.33153638814016,"Albanerpetontidae","Albanerpeton",TRUE,1
"5","Albanerpeton cifellii","Allocaudata",1,1,1,0.485044253066046,0,1,0,NA,NA,44.6370197251072,45.5580768874479,"low",1,1,"Albanerpetontidae","Albanerpeton",FALSE,NA
"6","Albanerpeton galaktion","Allocaudata",1,6,1,1.80782004861877,1249.73308239391,3,17,10.8721106908239,42.6358134356137,57.5395907218694,49.1017256216396,"low",2,1.07510729613734,"Albanerpetontidae","Albanerpeton",TRUE,1
"7","Albanerpeton gracilis","Allocaudata",40,85,40,0,2378.66368543759,5,7,6.58915799443872,31.519899246819,54.804248135112,38.9289082114559,"highlow",3,1.49668874172185,"Albanerpetontidae","Albanerpeton",TRUE,2
"8","Albanerpeton inexpectatum","Allocaudata",3,33,4,4.29300207764766,1109.8996260146,4,15,16,55.9219381022847,44.0822940055006,41.7256059628567,"low",1,0.967871485943775,"Albanerpetontidae","Albanerpeton",TRUE,1
"9","Albanerpeton nexuosus","Allocaudata",14,79,14,3.71164821597358,2242.17650409356,4,17,11.5310264902678,44.3357548665247,53.2657408743981,38.9217293041732,"highlow",4,1.78893442622951,"Albanerpetontidae","Albanerpeton",TRUE,1
"10","Albionbatrachus wightensis","Salientia",1,1,1,0,53.1717756492402,1,0,NA,NA,43.8632932103512,44.7205904683371,"low",1,1,"Palaeobatrachidae","Albionbatrachus",FALSE,NA
"11","Ambystoma minshalli","Urodela",3,78,3,3.85790484409802,275.813309688012,2,1,14.8256054874871,52.8791519272712,46.0117541162587,44.4067611458152,"highlow",3,1.39503386004515,"Ambystomatidae","Ambystoma",TRUE,1
"12","Amphibiopodiscus saltator",NA,NA,NA,NA,0.536151491425577,0,1,0,NA,NA,-44.4767849915227,-43.6963433529748,"low",1,1,NA,"Amphibiopodiscus",FALSE,NA
"13","Anakamacops petrolicus","Temnospondyli",1,1,1,0,26.6070512320962,1,0,NA,NA,25.4376017007074,25.4337595224409,"low",1,1,"Dissorophidae","Anakamacops",FALSE,NA
"14","Anconastes vesperus","Temnospondyli",1,2,1,1.04287334866311,0,1,0,99,271.151063678313,2.94461936112899,1.5284164522815,"low",1,1,"Trematopidae","Anconastes",TRUE,1
"15","Andrias matthewi","Urodela",1,2,1,6.44978048621812,791.918916881126,2,5,154,413.768032550476,47.9814534533821,46.0988007008929,"highlow",2,1.15724815724816,"Cryptobranchidae","Andrias",TRUE,1
"16","Angusaurus tsylmensis","Temnospondyli",NA,NA,NA,0,0,1,0,NA,NA,50.7473958282654,50.4434859448967,"low",1,1,"Benthosuchidae","Angusaurus",FALSE,NA
"17","Anoualerpeton priscus","Allocaudata",48,402,48,0.446364300368107,0,1,0,8.2364474930484,35.7923712771682,36.5665026970393,35.5455201121232,"low",1,1,"Albanerpetontidae","Anoualerpeton",TRUE,2
"18","Anoualerpeton unicus","Allocaudata",NA,NA,NA,0,0,2,1,8.2364474930484,35.7876173712516,16.4996514165639,17.4914050380565,"low",1,1,"Albanerpetontidae","Anoualerpeton",FALSE,NA
"19","Antarctosuchus polyodon","Temnospondyli",1,1,1,0,114.890514544809,2,0,624,1632.46377133553,-71.5395371006022,-71.4521365901607,"high",1,1,NA,"Antarctosuchus",TRUE,1
"20","Apachesaurus gregorii","Temnospondyli",3,7,3,4.15537321611118,924.419606621416,5,15,NA,NA,10.2580678888883,8.81803143524925,"highlow",3,1.82,"Metoposauridae","Apachesaurus",FALSE,NA
"21","Apateon gracilis","Temnospondyli",NA,NA,NA,0.721886124670624,0,1,0,18,61.1137302737793,7.74260996643215,8.56332309579238,"low",1,1,"Branchiosauridae","Apateon",FALSE,NA
"22","Aphaneramma rostratum","Temnospondyli",1,5,1,0.223114806451206,97.9837678872195,2,0,242,641.944798603396,54.8528776402427,55.149594370485,"low",1,0.953290870488323,"Trematosauridae","Aphaneramma",TRUE,1
"23","Apodops pricei","Parabatrachia",1,1,1,0,0,1,0,NA,NA,-27.9191877381847,-26.9195097499498,"low",1,1,"Caeciliidae","Apodops",FALSE,NA
"24","Apricosiren ensomi","Urodela",50,200,50,0,0,2,0,NA,NA,33.9137840655688,33.4442643581945,"low",1,1,NA,"Apricosiren",FALSE,NA
"25","Aralobatrachus robustus","Salientia",2,10,2,0.0365688357152618,0,1,3,18,61.1204470086021,36.0643563523391,35.265663531023,"highlow",3,1.45189504373178,"Discoglossidae","Aralobatrachus",TRUE,1
"26","Arariphrynus placidoi","Salientia",NA,NA,NA,0,0,1,0,NA,NA,-5.16422571761413,-5.60620191747202,"low",1,1,NA,"Arariphrynus",FALSE,NA
"27","Arizonerpeton wellsi","Lepospondyli",1,27,1,0,0,1,0,NA,NA,-9.44876205552391,-8.27141848862192,"low",1,1,"Nectridea","Arizonerpeton",FALSE,NA
"28","Aspidosaurus chiton","Temnospondyli",1,2,1,0.871784852662874,70.5011659592398,1,0,89,245.217265751189,-0.377555992131801,1.42672341768283,"low",1,1,"Dissorophidae","Aspidosaurus",TRUE,1
"29","Austropelor wadleyi","Temnospondyli",1,1,1,0.127952333367183,0,1,0,NA,NA,-58.0376590275872,-58.8521392866704,"low",1,1,"Brachyopidae","Austropelor",FALSE,NA
"30","Avitabatrachus uliana","Salientia",NA,NA,NA,0.963527746650009,0,1,0,12.4443204403572,34.9934744225349,-38.4659973814112,-38.0344470267144,"low",1,1,NA,NA,FALSE,NA
